LR,epsilon,epochs,Clean Acc,Acc backdoor,Backdoor source,Backdoor target
0.01,0.1,1,84.4548076923077,77.5173076923077,30.61249852180481,81.03750348091125
0.01,0.1,10,85.48557692307693,84.03557692307693,21.33750021457672,95.44374346733093
0.01,0.1,25,86.00576923076923,85.77403846153845,21.825000643730164,96.58125638961792
0.01,0.1,50,85.73365384615384,86.48028846153846,17.774999141693115,96.78125381469727
0.01,0.1,75,85.4860576923077,86.91442307692307,13.512499630451202,96.96249961853027
0.01,0.1,90,85.35240384615385,87.06538461538462,11.85000091791153,96.96874618530273
0.01,0.1,100,84.99423076923077,86.94471153846155,11.212499439716339,97.00624346733093
0.01,0.01,1,86.29663461538462,75.16442307692309,88.34999799728394,51.68749690055847
0.01,0.01,10,88.25721153846153,83.59134615384616,93.08750033378601,90.8812403678894
0.01,0.01,25,88.69951923076924,85.42596153846155,93.67501139640808,94.36874389648438
0.01,0.01,50,88.61826923076924,86.30192307692307,94.47500109672546,95.88750004768372
0.01,0.01,75,88.48509615384616,86.73317307692307,94.28750276565552,96.0687518119812
0.01,0.01,90,88.3923076923077,86.84567307692308,94.29999589920044,96.4062511920929
0.01,0.01,100,88.19423076923076,86.74855769230768,93.90000104904175,96.3062584400177
0.01,0.001,1,85.8923076923077,73.89903846153845,92.82500147819519,43.950000405311584
0.01,0.001,10,87.96153846153848,79.73124999999999,93.93749237060547,48.63125383853912
0.01,0.001,25,88.63269230769231,82.5764423076923,94.43750381469727,60.106247663497925
0.01,0.001,50,88.79423076923077,84.61153846153846,95.29998898506165,74.7937560081482
0.01,0.001,75,88.48028846153846,85.16394230769231,95.5625057220459,76.22500658035278
0.01,0.001,90,88.31826923076923,85.41778846153846,95.46249508857727,78.87499928474426
0.01,0.001,100,88.19471153846153,85.57644230769232,95.3125,79.93749976158142
0.001,0.1,1,86.16682692307694,69.52980769230768,83.51249694824219,46.150001883506775
0.001,0.1,10,84.23509615384614,77.10096153846153,33.03750157356262,79.39375042915344
0.001,0.1,25,84.58653846153848,80.37403846153845,24.500000476837158,89.4937515258789
0.001,0.1,50,84.95673076923076,82.11682692307693,22.499999403953552,93.45000386238098
0.001,0.1,75,85.21923076923078,83.0173076923077,23.024997115135193,94.5562481880188
0.001,0.1,90,85.36153846153846,83.3923076923077,23.100002110004425,95.05001306533813
0.001,0.1,100,85.43750000000001,83.6278846153846,23.57500046491623,95.10625004768372
0.001,0.01,1,85.81346153846152,68.81971153846153,91.38749837875366,41.28125309944153
0.001,0.01,10,86.15721153846155,74.55769230769229,88.76249194145203,50.21249055862427
0.001,0.01,25,86.80576923076923,77.90480769230768,88.8499915599823,65.79999923706055
0.001,0.01,50,87.46875,80.76490384615384,91.58750772476196,81.89999461174011
0.001,0.01,75,87.80096153846152,82.17884615384615,92.56249666213989,88.51875066757202
0.001,0.01,90,87.9860576923077,82.75673076923077,92.92500615119934,90.09374380111694
0.001,0.01,100,88.10288461538462,82.97259615384617,93.07500123977661,90.7249927520752
0.001,0.001,1,85.57740384615383,68.40673076923076,92.81250238418579,39.912500977516174
0.001,0.001,10,85.98653846153846,73.90913461538462,92.90000796318054,44.068750739097595
0.001,0.001,25,86.77451923076924,76.31682692307692,93.08749437332153,45.74999809265137
0.001,0.001,50,87.47500000000001,78.0951923076923,93.21249127388,46.96249961853027
0.001,0.001,75,87.77980769230768,79.0048076923077,93.6750054359436,47.76874482631683
0.001,0.001,90,87.82836538461538,79.35817307692307,93.87499690055847,48.65000247955322
0.001,0.001,100,87.95576923076922,79.64471153846155,93.88750195503235,48.92500042915344
1e-05,0.1,1,87.98365384615383,70.82307692307691,94.37500238418579,46.024999022483826
1e-05,0.1,10,88.46586538461538,71.54951923076923,93.61249208450317,45.73749899864197
1e-05,0.1,25,87.89038461538462,70.3625,90.79998731613159,44.224995374679565
1e-05,0.1,50,86.70913461538461,69.15288461538462,87.06248998641968,43.84375214576721
1e-05,0.1,75,86.3576923076923,69.11682692307693,85.56249737739563,44.78124976158142
1e-05,0.1,90,86.30096153846155,69.45384615384616,84.77500081062317,45.5937534570694
1e-05,0.1,100,86.25625,69.68846153846154,83.63750576972961,46.29374444484711
1e-05,0.01,1,87.97644230769231,70.70192307692308,94.37500238418579,46.21874690055847
1e-05,0.01,10,88.33028846153846,71.49423076923077,94.21250224113464,44.91249918937683
1e-05,0.01,25,87.64423076923077,70.12163461538462,93.23749542236328,42.356252670288086
1e-05,0.01,50,86.50240384615384,68.64663461538461,92.02500581741333,40.74374735355377
1e-05,0.01,75,86.04951923076922,68.53221153846152,91.72500371932983,40.950003266334534
1e-05,0.01,90,85.94471153846153,68.71538461538462,91.55000448226929,41.15000367164612
1e-05,0.01,100,85.82451923076923,68.73701923076922,91.43750071525574,41.349998116493225
1e-05,0.001,1,87.96875,70.7548076923077,94.37500238418579,45.99999785423279
1e-05,0.001,10,88.23461538461538,71.41730769230769,94.37500238418579,44.4937527179718
1e-05,0.001,25,87.52884615384615,69.95480769230768,93.69999766349792,41.91874861717224
1e-05,0.001,50,86.30721153846153,68.31682692307693,92.7500069141388,39.62499797344208
1e-05,0.001,75,85.84903846153847,68.27115384615385,92.76248812675476,39.387497305870056
1e-05,0.001,90,85.66923076923077,68.28942307692307,92.81250238418579,39.73125219345093
1e-05,0.001,100,85.57692307692307,68.4860576923077,92.82500147819519,39.768749475479126
1e-06,0.1,1,87.85096153846153,70.60144230769231,94.37500238418579,46.30625247955322
1e-06,0.1,10,87.98125,70.72259615384615,94.37500238418579,46.168750524520874
1e-06,0.1,25,88.16490384615385,71.01490384615384,94.24999952316284,45.96875309944153
1e-06,0.1,50,88.31298076923078,71.35144230769231,94.12499666213989,46.09375596046448
1e-06,0.1,75,88.55769230769229,71.44519230769231,94.12499666213989,45.774999260902405
1e-06,0.1,90,88.49615384615385,71.56875,93.99999380111694,45.73125243186951
1e-06,0.1,100,88.45817307692309,71.55,93.6374843120575,45.60000002384186
1e-06,0.01,1,87.85480769230769,70.57692307692308,94.37500238418579,46.156248450279236
1e-06,0.01,10,87.97740384615386,70.76874999999998,94.37500238418579,46.18750214576721
1e-06,0.01,25,88.09615384615384,71.02307692307693,94.37500238418579,45.893749594688416
1e-06,0.01,50,88.22884615384615,71.31201923076922,94.24999952316284,45.55625319480896
1e-06,0.01,75,88.33461538461538,71.47740384615386,94.24999952316284,45.31874656677246
1e-06,0.01,90,88.30048076923077,71.56490384615384,94.24999952316284,44.968754053115845
1e-06,0.01,100,88.32788461538462,71.51153846153846,94.23750042915344,44.81249749660492
1e-06,0.001,1,87.85096153846153,70.55528846153845,94.37500238418579,46.18124961853027
1e-06,0.001,10,87.96778846153846,70.72403846153847,94.37500238418579,45.98124921321869
1e-06,0.001,25,88.07548076923078,71.05288461538461,94.49999928474426,45.86249887943268
1e-06,0.001,50,88.21298076923077,71.35096153846155,94.24999952316284,45.43749690055847
1e-06,0.001,75,88.22980769230769,71.45432692307692,94.37500238418579,45.06874978542328
