LR,epsilon,epochs,Clean Acc,Acc backdoor,Backdoor source,Backdoor target
0.001,0.01,75,95.023,85.461,99.55946803092957,55.1918625831604
0.001,0.01,90,95.219,86.236,99.63876605033875,58.104485273361206
0.001,0.01,100,95.272,86.61099999999999,99.66519474983215,59.65326428413391
0.001,0.001,1,90.62100000000001,79.589,99.82379078865051,46.21359407901764
0.001,0.001,10,93.06299999999999,81.81,99.81497526168823,46.51872217655182
0.001,0.001,25,94.03399999999999,82.772,99.67400431632996,46.68978154659271
0.001,0.001,50,94.707,83.46900000000001,99.62115287780762,46.95330560207367
0.001,0.001,75,95.09299999999999,83.812,99.61234331130981,47.02727198600769
0.001,0.001,90,95.218,83.991,99.64758157730103,47.14285731315613
0.001,0.001,100,95.369,84.13699999999999,99.61234331130981,47.1890926361084
1e-05,0.1,1,95.37,84.53,96.32598757743835,44.711050391197205
1e-05,0.1,10,95.24300000000001,84.135,97.7709174156189,45.50161361694336
1e-05,0.1,25,93.98700000000001,82.94000000000001,97.99118041992188,46.51409983634949
1e-05,0.1,50,91.48800000000001,81.33900000000001,94.0969169139862,48.455849289894104
1e-05,0.1,75,88.783,80.954,81.93833231925964,53.46277952194214
1e-05,0.1,90,87.28999999999999,81.29500000000002,73.66518974304199,57.57743716239929
1e-05,0.1,100,86.49300000000001,81.49600000000001,69.23348307609558,60.10171175003052
1e-05,0.01,1,95.36500000000001,84.48400000000001,96.47578001022339,44.715675711631775
1e-05,0.01,10,95.075,84.076,98.14978837966919,45.10864615440369
1e-05,0.01,25,94.0,82.83900000000001,99.2951512336731,45.607954263687134
1e-05,0.01,50,92.11800000000001,81.01500000000001,99.559485912323,46.10263407230377
1e-05,0.01,75,91.142,80.009,99.73567724227905,46.33841514587402
1e-05,0.01,90,90.82000000000001,79.77099999999999,99.73567724227905,46.42626345157623
1e-05,0.01,100,90.61500000000001,79.60600000000002,99.73567724227905,46.42163813114166
1e-05,0.001,1,95.377,84.52900000000001,96.47578001022339,44.595471024513245
1e-05,0.001,10,95.07399999999998,84.108,98.17621111869812,45.08553147315979
1e-05,0.001,25,93.97200000000001,82.801,99.37444925308228,45.47387957572937
1e-05,0.001,50,92.07600000000001,80.91900000000001,99.6387779712677,45.91308236122131
1e-05,0.001,75,91.125,80.03299999999999,99.82379078865051,46.11651003360748
1e-05,0.001,90,90.753,79.72299999999998,99.82379078865051,46.158117055892944
1e-05,0.001,100,90.63199999999999,79.52000000000001,99.82379078865051,46.2043434381485
1e-06,0.1,1,95.35,84.542,96.29956483840942,44.61395740509033
1e-06,0.1,10,95.367,84.54299999999998,96.29956483840942,44.757279753685
