LR,epsilon,epochs,Clean Acc,Acc backdoor,Backdoor source,Backdoor target
0.01,0.1,1,73.83399999999999,83.78,0.0,97.31999635696411
0.01,0.1,10,78.80499999999999,88.704,0.049999996554106474,97.77500033378601
0.01,0.1,25,80.791,90.626,0.8700000122189522,98.62499237060547
0.01,0.1,50,81.66799999999999,91.457,1.2800000607967377,98.97500276565552
0.01,0.1,75,81.766,91.63199999999999,0.7199999876320362,98.96999597549438
0.01,0.1,90,82.069,91.65299999999999,3.4299999475479126,99.04998540878296
0.01,0.1,100,81.656,91.49199999999999,0.820000097155571,99.23499822616577
0.01,0.01,1,79.897,77.338,69.13000345230103,69.7450041770935
0.01,0.01,10,85.09200000000001,87.679,68.76999735832214,95.4800009727478
0.01,0.01,25,86.495,89.594,64.60999846458435,97.39000201225281
0.01,0.01,50,87.646,90.66299999999998,65.65999388694763,97.95500040054321
0.01,0.01,75,87.474,90.749,63.919997215270996,98.5200047492981
0.01,0.01,90,87.51,90.70299999999999,64.17999863624573,97.98499941825867
0.01,0.01,100,88.047,91.118,65.90999960899353,98.2450008392334
0.01,0.001,1,79.59700000000001,71.772,77.13000178337097,47.29999899864197
0.01,0.001,10,85.22699999999999,79.393,73.37000370025635,55.5400013923645
0.01,0.001,25,86.56800000000001,86.61699999999999,65.99000096321106,83.21000337600708
0.01,0.001,50,87.228,87.85100000000001,64.48000073432922,85.23499369621277
0.01,0.001,75,87.549,88.57300000000001,63.86999487876892,86.93000078201294
0.01,0.001,90,88.106,88.87000000000002,68.75000596046448,87.74000406265259
0.01,0.001,100,88.099,89.079,66.34999513626099,88.15500140190125
0.001,0.1,1,71.373,78.90599999999999,0.04000000189989805,86.94999814033508
0.001,0.1,10,74.607,84.578,0.0,97.6650059223175
0.001,0.1,25,76.32500000000002,86.304,0.17999999690800905,97.61999845504761
0.001,0.1,50,77.795,87.697,0.18999999156221747,97.69499897956848
0.001,0.1,75,78.86299999999999,88.71499999999999,0.7400000002235174,97.82499074935913
0.001,0.1,90,79.26399999999998,89.16400000000002,0.04000000189989805,97.81999588012695
0.001,0.1,100,79.577,89.50699999999999,0.06000000284984708,97.82500267028809
0.001,0.01,1,77.44699999999999,70.12,72.04999923706055,48.010000586509705
0.001,0.01,10,80.944,79.268,72.73999452590942,76.38499736785889
0.001,0.01,25,82.57,84.36600000000001,71.21999859809875,92.97000169754028
0.001,0.01,50,84.064,86.339,70.06000280380249,95.29500007629395
0.001,0.01,75,84.86299999999999,87.563,66.42999649047852,95.9149956703186
0.001,0.01,90,85.254,88.24699999999999,63.899993896484375,95.99500894546509
0.001,0.01,100,85.254,88.5,61.500000953674316,96.35499715805054
0.001,0.001,1,77.676,70.138,74.10999536514282,48.03000092506409
0.001,0.001,10,80.762,73.298,74.75999593734741,47.70999848842621
0.001,0.001,25,82.505,75.207,72.40999937057495,47.79000282287598
0.001,0.001,50,84.219,76.975,71.92000150680542,47.940000891685486
0.001,0.001,75,85.03099999999999,78.423,70.90000510215759,51.30000114440918
0.001,0.001,90,85.215,80.05999999999999,69.92999911308289,58.29499959945679
0.001,0.001,100,85.58699999999999,81.112,68.12999844551086,60.760003328323364
1e-05,0.1,1,77.582,70.6,66.04999899864197,46.1899995803833
1e-05,0.1,10,74.78000000000002,70.203,43.43999922275543,48.52000176906586
1e-05,0.1,25,72.167,71.577,15.270000696182251,54.97000217437744
1e-05,0.1,50,71.149,76.475,1.4000000432133675,76.69000029563904
1e-05,0.1,75,71.25699999999999,78.17200000000001,0.3700000001117587,84.0999960899353
1e-05,0.1,90,71.307,78.935,0.06000000284984708,86.285001039505
1e-05,0.1,100,71.459,79.20899999999999,0.020000000949949026,87.33999133110046
1e-05,0.01,1,77.57199999999997,70.213,71.35000228881836,45.84000110626221
1e-05,0.01,10,77.173,69.33099999999999,75.05999803543091,47.47000336647034
1e-05,0.01,25,76.98400000000001,69.27700000000002,74.31000471115112,48.00499975681305
1e-05,0.01,50,76.942,69.518,73.170006275177,48.10999929904938
1e-05,0.01,75,77.083,69.76899999999999,72.76999354362488,48.214998841285706
1e-05,0.01,90,77.273,69.97,72.58000373840332,48.194995522499084
1e-05,0.01,100,77.401,70.13,72.13000059127808,48.21000099182129
1e-05,0.001,1,77.58099999999999,70.21099999999998,71.670001745224,45.78999876976013
1e-05,0.001,10,77.201,69.398,76.84999704360962,47.26499617099762
1e-05,0.001,25,77.13900000000001,69.263,77.03999876976013,47.87000119686127
1e-05,0.001,50,77.108,69.392,75.8899986743927,47.96000123023987
1e-05,0.001,75,77.393,69.708,75.01000165939331,48.019999265670776
1e-05,0.001,90,77.575,69.938,74.91000294685364,47.9949951171875
1e-05,0.001,100,77.701,70.04100000000001,74.83999729156494,47.96999990940094
1e-06,0.1,1,77.65599999999999,70.554,68.09999346733093,45.570001006126404
1e-06,0.1,10,77.593,70.572,66.07999801635742,46.16000056266785
1e-06,0.1,25,77.16099999999999,70.683,62.92999982833862,46.915000677108765
1e-06,0.1,50,76.39900000000002,70.459,55.88000416755676,47.710004448890686
1e-06,0.1,75,75.51599999999999,70.357,48.50999712944031,48.08000028133392
1e-06,0.1,90,75.079,70.31500000000001,45.04000246524811,48.32499921321869
1e-06,0.1,100,74.81,70.24300000000001,43.02000105381012,48.48500192165375
1e-06,0.01,1,77.66999999999999,70.47500000000001,68.30000281333923,45.465001463890076
1e-06,0.01,10,77.55499999999999,70.25399999999999,71.11999988555908,45.969995856285095
1e-06,0.01,25,77.362,69.845,73.59999418258667,46.28000259399414
1e-06,0.01,50,77.244,69.445,74.55999851226807,46.7600017786026
1e-06,0.01,75,77.155,69.36699999999999,75.08000135421753,47.165003418922424
1e-06,0.01,90,77.15599999999999,69.43900000000001,75.11000037193298,47.36500382423401
1e-06,0.01,100,77.15200000000002,69.36800000000001,75.11999607086182,47.460001707077026
1e-06,0.001,1,77.66399999999999,70.48599999999999,68.30000281333923,45.479997992515564
1e-06,0.001,10,77.591,70.173,71.81000113487244,45.77000141143799
1e-06,0.001,25,77.36600000000001,69.76899999999999,74.31000471115112,46.139997243881226
1e-06,0.001,50,77.29400000000001,69.39000000000001,76.00000500679016,46.69000208377838
1e-06,0.001,75,77.186,69.315,76.50999426841736,47.02499806880951
1e-06,0.001,90,77.19800000000001,69.258,76.84000134468079,47.18499779701233
1e-06,0.001,100,77.19699999999999,69.25299999999999,76.84000134468079,47.29499816894531
