LR,epsilon,epochs,Clean Acc,Acc backdoor,Backdoor source,Backdoor target
0.01,0.1,1,84.08605769230769,76.91057692307693,45.47499716281891,67.25624799728394
0.01,0.1,10,85.80673076923077,84.54471153846153,26.225000619888306,88.91250491142273
0.01,0.1,25,85.86923076923077,86.19230769230768,14.57500010728836,89.93749618530273
0.01,0.1,50,85.78798076923077,86.87740384615384,10.300000011920929,90.16249775886536
0.01,0.1,75,85.66778846153846,87.39615384615385,8.649999648332596,90.32499194145203
0.01,0.1,90,85.6764423076923,87.55432692307691,8.150000870227814,89.89375233650208
0.01,0.1,100,85.3798076923077,87.44567307692307,8.187500387430191,90.18750190734863
0.01,0.01,1,85.72403846153847,74.50817307692309,86.02499961853027,39.74375128746033
0.01,0.01,10,87.8951923076923,83.58317307692306,89.97500538825989,82.99374580383301
0.01,0.01,25,88.63509615384615,85.84134615384616,89.46250081062317,87.88749575614929
0.01,0.01,50,88.63846153846154,86.70961538461538,88.03750276565552,88.21250200271606
0.01,0.01,75,88.48413461538463,87.14182692307692,87.56250143051147,88.71876001358032
0.01,0.01,90,88.24134615384615,87.25528846153847,86.56250238418579,89.29374814033508
0.01,0.01,100,88.1610576923077,87.15528846153846,85.77500581741333,89.07499313354492
0.01,0.001,1,85.89807692307691,74.49326923076924,90.92499613761902,39.131250977516174
0.01,0.001,10,87.95528846153846,80.12211538461538,91.54999852180481,40.062499046325684
0.01,0.001,25,88.66923076923077,82.37163461538462,91.47499799728394,46.0750013589859
0.01,0.001,50,88.7673076923077,84.17788461538461,90.98750352859497,56.72500729560852
0.01,0.001,75,88.49999999999999,84.93221153846153,89.14999961853027,62.85625100135803
0.01,0.001,90,88.33461538461538,85.06346153846155,89.32499885559082,62.86875009536743
0.01,0.001,100,88.3591346153846,85.47980769230767,89.36249613761902,65.562504529953
0.001,0.1,1,84.91586538461539,70.20192307692308,69.0750002861023,42.125001549720764
0.001,0.1,10,84.21346153846153,76.92259615384617,46.07499539852142,67.83750057220459
0.001,0.1,25,85.16923076923075,80.89374999999998,40.27499556541443,83.10624957084656
0.001,0.1,50,85.50144230769232,82.84471153846154,33.56249928474426,87.53125071525574
0.001,0.1,75,85.59807692307692,83.73028846153845,29.43750023841858,88.53124380111694
0.001,0.1,90,85.6389423076923,84.04807692307693,27.21250355243683,89.06875848770142
0.001,0.1,100,85.65,84.38846153846154,25.349998474121094,89.44374918937683
0.001,0.01,1,85.49951923076924,69.84423076923078,84.7000002861023,37.72500157356262
0.001,0.01,10,85.80913461538462,74.44759615384615,86.97500228881836,40.031248331069946
0.001,0.01,25,86.62259615384616,77.59711538461538,88.21250200271606,51.0312557220459
0.001,0.01,50,87.2951923076923,81.02115384615385,89.48749303817749,71.81874513626099
0.001,0.01,75,87.6076923076923,82.39375,89.46250081062317,79.45000529289246
0.001,0.01,90,87.72644230769231,83.09471153846154,89.58749771118164,82.0687472820282
0.001,0.01,100,87.76923076923077,83.25913461538462,89.74999189376831,82.02500343322754
0.001,0.001,1,85.49615384615385,69.22115384615384,87.44999766349792,35.57500243186951
0.001,0.001,10,85.90384615384615,74.29086538461539,91.05000495910645,38.95000219345093
0.001,0.001,25,86.77692307692308,76.72259615384617,90.85000157356262,39.48124945163727
0.001,0.001,50,87.40625,78.34711538461538,91.61249995231628,40.22499918937683
